Time(s),F69-1-AnoChasing,F69-2-AnoMutual,F69-3-AnoMutual,F69-4-N-N,F69-5-Body,H25-1-Body/Ano,H25-2-N-N,H25-3-N-N,H25-4-N-N,H25-5-N-N,H28-1-N-N,H28-2-N-N,H28-3-Ano,H28-4-Ano/Body,H28-5-N-N,H82-1-AnoMutual,H82-2-N-N/AnoChasing,H82-3-N-N,H82-4-BodyMutual,H82-5-N-N
-9.13,0.082028892,0.08451292,0.128884822,0.010616429,0.177585717,0.134087349,-0.146443683,0.002829212,0.111753966*,-0.052765491,0.008869,-0.23755,0.091342,-0.09172,-0.0595,-0.23123,0.033355,-0.00833,-0.01686,0.081219
-9.12,0.079555892,0.08263592,0.128918822,0.012990429,0.175651717,0.131964349,-0.146047683,0.001541212,0.111262966*,-0.053440491,0.008791,-0.23651,0.090919,-0.09193,-0.06069,-0.23082,0.033141,-0.00823,-0.01591,0.081607
-9.11,0.077074892,0.08074992,0.128923822,0.015343429,0.173687717,0.129814349,-0.145620683,0.000275212,0.110743966*,-0.054121491,0.008722,-0.23546,0.090464,-0.09213,-0.06187,-0.23038,0.032925,-0.00813,-0.01496,0.081999
-9.1,0.074586892,0.07885692,0.128898822,0.017674429,0.171694717,0.127637349,-0.145164683,-0.000968788,0.110195966*,-0.054806491,0.008661,-0.23439,0.089979,-0.09231,-0.06304,-0.22992,0.032708,-0.008,-0.014,0.082395
-9.09,0.072091892,0.07695692,0.128842822,0.019983429,0.169672717,0.125433349,-0.144678683,-0.002191788,0.109620966*,-0.055495491,0.008608,-0.23331,0.089462,-0.09247,-0.0642,-0.22942,0.032489,-0.00787,-0.01304,0.082796
-9.08,0.069591892,0.07504892,0.128756822,0.022268429,0.167622717,0.123203349,-0.144162683,-0.003391788,0.109017966*,-0.056189491,0.008564,-0.23221,0.088915,-0.0926,-0.06534,-0.2289,0.032269,-0.00772,-0.01207,0.0832
-9.07,0.067085892,0.07313592,0.128640822,0.024530429,0.165543717,0.120947349,-0.143617683,-0.004569788,0.108387966*,-0.056887491,0.008528,-0.23109,0.088338,-0.09272,-0.06646,-0.22834,0.032047,-0.00756,-0.0111,0.083608
-9.06,0.064575892,0.07121592,0.128492822,0.026768429,0.163437717,0.118664349,-0.143044683,-0.005725788,0.107729966*,-0.057588491,0.0085,-0.22996,0.087731,-0.09281,-0.06757,-0.22776,0.031824,-0.00739,-0.01013,0.084021
-9.05,0.062060892,0.06929092,0.128314822,0.028982429,0.161304717,0.116355349,-0.142442683,-0.006858788,0.107043966*,-0.058294491,0.00848,-0.22881,0.087094,-0.09289,-0.06866,-0.22715,0.031599,-0.0072,-0.00915,0.084437
-9.04,0.059540892,0.06736092,0.128104822,0.031171429,0.159145717,0.114021349,-0.141811683,-0.007969788,0.106330966*,-0.059003491,0.008467,-0.22765,0.086428,-0.09295,-0.06974,-0.22651,0.031373,-0.007,-0.00818,0.084857
-9.03,0.057017892,0.06542592,0.127864822,0.033334429,0.156960717,0.111661349,-0.141153683,-0.009057788,0.105591966*,-0.059715491,0.008462,-0.22647,0.085734,-0.09298,-0.0708,-0.22584,0.031146,-0.00679,-0.00719,0.085281
-9.02,0.054491892,0.06348792,0.127592822,0.035472429,0.154750717,0.109276349,-0.140467683,-0.010123788,0.104824966*,-0.060430491,0.008465,-0.22527,0.085012,-0.093,-0.07184,-0.22514,0.030918,-0.00657,-0.00621,0.085708
